Gene_ID	Species	Mean_RNA	Mean_Protein	SE_RNA	SE_Protein
ENSG00000091157	Felis_catus	-0.7060931015886533	-1.2683108839496986	0.04569604476347722	0.02532855761931643
ENSG00000091157	Bos_taurus	-0.7209848133105287	-0.9493705555110432	0.01459503519233865	0.1835435412890829
ENSG00000091157	Canis_lupus	-0.5957474475985624	-0.4690895350059236	0.01537331993060485	0.04813632516022907
ENSG00000091157	Equus_caballus	-0.9877888293825632	-0.5876639524581634	0.03203674932959159	0.03214380018318998
ENSG00000091157	Homo_sapiens	-1.264072629686466	-1.5960071392756543	0.10924260309894784	0.05372743447207111
ENSG00000091157	Macaca_mulatta	-1.334193375170276	-1.7652218687524883	0.05460610484204967	0.02033197182788925
ENSG00000091157	Monodelphis_domestica	-0.771546888162565	-1.2410070099338228	0.00764302214483432	0.01174001819844776
ENSG00000091157	Sus_scrofa	-1.0988245989995666	-1.2081338718392265	0.04374919658058949	0.01109928468877574
ENSG00000091157	Oryctolagus_cuniculus	-0.7632647892107165	-0.917102417477682	0.08403672061529624	0.02116678332729112
ENSG00000091157	Rattus_norvegicus	-1.0317588827824355	-1.088777589776422	0.12491429702234742	0.08625163533935062
ENSG00000091157	Ovis_aries	-1.175698416721475	-1.582936279865896	0.04225468712288836	0.03361659623187488
ENSG00000113272	Felis_catus	-0.7793808216346778	-0.6112407641334794	0.05932217636371091	0.03311568758582652
ENSG00000113272	Bos_taurus	-1.437645665248577	-0.7224836227634213	0.05265817222247596	0.02564017271778472
ENSG00000113272	Canis_lupus	-1.4463291654666008	-0.44193374673584346	0.03460894054795408	0.01642217279039824
ENSG00000113272	Equus_caballus	-1.674911996649175	-0.954208323208938	0.088604147777639	0.05086639252975025
ENSG00000113272	Homo_sapiens	-1.0233603340159318	-0.8295944442058494	0.0184677952689991	0.0458128571174022
ENSG00000113272	Macaca_mulatta	-1.6671736072585197	-1.1578714521608768	0.1484414982200036	0.02436283395891491
ENSG00000113272	Monodelphis_domestica	-1.283130463845481	-1.1540619289340304	0.04121245056969416	0.1751962477353147
ENSG00000113272	Sus_scrofa	-1.4789263159798238	-0.9594888157902638	0.02118741551656229	0.0425005911426955
ENSG00000113272	Oryctolagus_cuniculus	-1.136301277778972	-0.6754473064741919	0.08919527403609387	0.0292360122377584
ENSG00000113272	Rattus_norvegicus	-1.1248652084093544	-0.30602003903341585	0.061043787353834	0.03951996393398899
ENSG00000113272	Ovis_aries	-1.9178234354903911	-0.9947878252333768	0.01369990410377466	0.04826315269954542
ENSG00000117408	Felis_catus	-0.6934877753198473	-0.49536475438288935	0.03857093999012728	0.01821971284692958
ENSG00000117408	Bos_taurus	-0.48668532507604817	-0.7087285028436847	0.03287475772933129	0.02243873312069944
ENSG00000117408	Canis_lupus	-0.15821105947887712	-0.8127263180596788	0.01538680470122879	0.01831471257157709
ENSG00000117408	Equus_caballus	-1.330257413437172	-0.8713494718981017	0.06671342144958267	0.02946047681877936
ENSG00000117408	Homo_sapiens	-0.9131828007590672	-0.9018328200567932	0.09233849901469238	0.05005740101498212
ENSG00000117408	Macaca_mulatta	-0.6192732871900755	-1.1973317080009187	0.03119848113643606	0.02141341182760903
ENSG00000117408	Monodelphis_domestica	0.4275177216041931	-0.7439432373280035	0.01304871939178131	0.01928733006546252
ENSG00000117408	Sus_scrofa	-0.5724863912594095	-0.6189287337534122	0.01527243592835297	0.1858687172614985
ENSG00000117408	Oryctolagus_cuniculus	-1.166992989829847	-0.7756684799662219	0.0239780107775808	0.0319223862614074
ENSG00000117408	Rattus_norvegicus	-0.7603943761716162	-0.5288892615590897	0.05013786367483398	0.0335028789860776
ENSG00000117408	Ovis_aries	-0.39526991743449935	-0.6580012542705501	0.02996203188449915	0.06713790524225081
ENSG00000137822	Felis_catus	-1.2758492792488318	-1.2214084137448054	0.06782586307772334	0.01305466698905834
ENSG00000137822	Bos_taurus	-0.9065200477044414	-1.0704672909486714	0.02990316743778194	0.00777206201305211
ENSG00000137822	Canis_lupus	-1.2117280260721353	-1.196586322079343	0.02252341500329525	0.13132059168475516
ENSG00000137822	Equus_caballus	-1.5249379936234286	-1.156351242938346	0.0657658310869691	0.01046890198350048
ENSG00000137822	Homo_sapiens	-1.2891466365429534	-0.968518994643338	0.05348430478343192	0.03048468789426003
ENSG00000137822	Macaca_mulatta	-0.8239538403673732	-1.275234250233888	0.1211992410090768	0.071262073634634
ENSG00000137822	Monodelphis_domestica	-1.1768076002250842	-1.1863963309092334	0.01873559937701671	0.00899578030433078
ENSG00000137822	Sus_scrofa	-1.1828924760590784	-1.1089637886350798	0.02128587080832561	0.05735086177015433
ENSG00000137822	Oryctolagus_cuniculus	-0.7632716753872433	-1.50863598725671	0.05917087340434622	0.03968886631311754
ENSG00000137822	Rattus_norvegicus	-1.3650355170265844	-1.015953439087971	0.03128910357646672	0.09043519953227312
ENSG00000137822	Ovis_aries	-0.9566651111028048	-1.480727277190145	0.01749103477381184	0.03074217808127237
ENSG00000168538	Felis_catus	-0.03264955748492361	-0.6175616046857894	0.03681381402715377	0.05784705956008177
ENSG00000168538	Bos_taurus	-0.7437778432248122	-0.745587223740668	0.00596524248698704	0.03589330460385916
ENSG00000168538	Canis_lupus	-0.13463254948649214	-0.7496140407921401	0.0326903909027167	0.02145694200635217
ENSG00000168538	Equus_caballus	-0.5106718430220332	-0.9760250417394783	0.02176596015012594	0.02126636851636787
ENSG00000168538	Homo_sapiens	-0.915143097479374	-1.5294961601605248	0.0560426621698093	0.1582879672933593
ENSG00000168538	Macaca_mulatta	-0.7785366914989946	-0.8700039585975812	0.05381552729820147	0.00967011148830793
ENSG00000168538	Monodelphis_domestica	-0.4797300646271091	-0.7520023009555802	0.01602864700703084	0.00591647415799048
ENSG00000168538	Sus_scrofa	-0.5631438643824683	-0.769712799295563	0.02623303913399441	0.36245151311809737
ENSG00000168538	Oryctolagus_cuniculus	-0.13773256163889777	-0.9487516245548024	0.0583468338214465	0.01508442616687635
ENSG00000168538	Rattus_norvegicus	-0.6802674780799076	-1.1328058882408152	0.01720956811163341	0.21960628692188852
ENSG00000168538	Ovis_aries	-0.48534898818923966	-1.043640803840733	0.01134616127739077	0.24834890544903412
ENSG00000171763	Felis_catus	-1.8763960466349892	-1.396143190623194	0.03766628152358917	0.03396219266948711
ENSG00000171763	Bos_taurus	-1.7478679150823755	-0.6641939414005924	0.05377092617641531	0.02436843423988205
ENSG00000171763	Canis_lupus	-2.0755105420666142	0.04247226865315683	0.05181902949883075	0.02959188296449929
ENSG00000171763	Equus_caballus	-2.0692782693475933	-1.0346492932424534	0.03929194120011789	0.03189585206399091
ENSG00000171763	Homo_sapiens	-1.2106670882710746	-0.8061452881700271	0.03897383312657722	0.02548626112655224
ENSG00000171763	Macaca_mulatta	-2.393265537538617	-1.917310552706245	0.1012047189712733	0.2763263131920184
ENSG00000171763	Monodelphis_domestica	-1.0338762651967996	-0.5015502089852208	0.0491797829601991	0.02111400738617762
ENSG00000171763	Sus_scrofa	-1.720808479234092	-1.053818717303422	0.04594948940209641	0.01960227525640002
ENSG00000171763	Oryctolagus_cuniculus	-1.9208226393297767	-1.861648630215229	0.0447410346507824	0.0289200883491155
ENSG00000171763	Rattus_norvegicus	-2.39640505842221	-2.4501088673888884	0.07419968343870874	0.0854407851387336
ENSG00000171763	Ovis_aries	-1.6498398779582608	-1.6864139807628322	0.02873146995155256	0.02524489236433155
ENSG00000253710	Felis_catus	-1.2624564668674767	-0.7529788446483239	0.01116897801997148	0.04838048499337136
ENSG00000253710	Bos_taurus	-0.8076138210386331	-0.30141832820317577	0.03461829802822187	0.0243169688173712
ENSG00000253710	Canis_lupus	-1.1046548444519366	-0.352335931375579	0.05136261552755908	0.07448729462557446
ENSG00000253710	Equus_caballus	-1.0822417031062683	-0.6387791198001885	0.08907973890386203	0.0700126796862921
ENSG00000253710	Homo_sapiens	-0.5063851261077494	-1.148578587335255	0.08859540754267071	0.07454115009781956
ENSG00000253710	Macaca_mulatta	-1.6307103170543895	-1.1821212143888973	0.02980206375536643	0.02927027457453113
ENSG00000253710	Monodelphis_domestica	-0.4715811065345305	-0.48163885936771567	0.03630088050571303	0.02114417018160383
ENSG00000253710	Sus_scrofa	-1.7008837032052606	-0.565301841822724	0.00941023560109693	0.00400469478458951
ENSG00000253710	Oryctolagus_cuniculus	-0.8174139658487292	-0.8586973499372318	0.02043674198440439	0.0198334468543065
ENSG00000253710	Rattus_norvegicus	-0.3733222774088701	-1.0300740354216953	0.06566230720242991	0.08723308035122761
ENSG00000253710	Ovis_aries	-1.1821066631331647	-0.937331385101801	0.02650705430345388	0.12927402148507067
